Map	Speaker	Dialogue
Refuge_Event1_Page2	Julius Gaston	So?
Refuge_Event1_Page2	Louis Tanner	None of the staff were able to confirm your statement.
Refuge_Event1_Page2	Louis Tanner	And neither was there any record of your application.
Refuge_Event1_Page2	Julius Gaston	What!?
Refuge_Event1_Page2	Louis Tanner	Your confusion is as big as mine.
Refuge_Event1_Page2	Louis Tanner	Come on, Julius.
Refuge_Event1_Page2	Louis Tanner	Out with the truth!
Refuge_Event1_Page2	Julius Gaston	This can't be right!
Refuge_Event1_Page2	Julius Gaston	I was there, and you know it!
Refuge_Event1_Page2	Louis Tanner	I wish.
Refuge_Event1_Page2	Louis Tanner	But as it stands...
Refuge_Event1_Page2	Louis Tanner	This is your last chance to confess!
Refuge_Event1_Page2	Louis Tanner	Admit it already, you scum!
Refuge_Event1_Page2	Julius Gaston	No!
Refuge_Event1_Page2	Louis Tanner	You know, I always respected you.
Refuge_Event1_Page2	Louis Tanner	It's a pity, really.
Refuge_Event1_Page2	Louis Tanner	By power of Parliament...
Refuge_Event1_Page2	Louis Tanner	I hereby judge you guilty of attempting a large-scale smuggling operation.
Refuge_Event1_Page2	Louis Tanner	Corporal, the cleaver!
Refuge_Event1_Page2	Aleks Smola	Aye Sir!
Refuge_Event1_Page2	Ganymede	Seriously?
Refuge_Event1_Page2	Louis Tanner	Something you want to say?
Refuge_Event1_Page2	Ganymede	Is that how you handle problems around here?
Refuge_Event1_Page2	Louis Tanner	Am I to take this as an official act of intervention?
Refuge_Event1_Page2	Atlas	No.
Refuge_Event1_Page2	Atlas	Carry on.
Refuge_Event1_Page2	Ganymede	You're ok with this?
Refuge_Event1_Page2	Atlas	My personal opinion doesn't matter.
Refuge_Event1_Page2	Atlas	We should go.
Refuge_Event1_Page2	Louis Tanner	My thoughts, exactly.
Refuge_Event1_Page2	Louis Tanner	I'll be back at the checkpoint as soon as I can.
Refuge_Event1_Page2	Atlas	I certainly hope so.
Refuge_Event1_Page2	Atlas	If not...
Refuge_Event1_Page2	Louis Tanner	Yes, yes...
Refuge_Event1_Page2	Louis Tanner	I know.
Refuge_Event1_Page2	Atlas	We'll see you there.
Refuge_Event2_Page1	Aleks Smola	...
Refuge_Event2_Page2	Aleks Smola	What a piece of shit...
Refuge_Event3_Page1	Metod Csorba	Get a move on.
Refuge_Event6_Page1	Lucian Jankovics	Stay away from the suspects.
Refuge_Event7_Page1	Louis Tanner	After me, if you'd be so kind.
Refuge_Event8_Page1	Lucian Jankovics	Stay away from the suspects!
Refuge_Event9_Page1	Louis Tanner	Alright.
Refuge_Event9_Page1	Louis Tanner	Wake him up.
Refuge_Event11_Page1	Atlas	We should see this.
Refuge_Event12_Page1	Atlas	We should see this.
Refuge_Event13_Page2	Louis Tanner	You should leave.
Refuge_Event14_Page1	Klim Vlašič	Don't touch anything.
Nestville_Event1_Page1	Şebnem Vukoja	Woah! Outsiders!
Nestville_Event1_Page1	Şebnem Vukoja	Y-you're not one of those mercenaries, are you?
Nestville_Event1_Page1	Daphne	You're damn right we are!
Nestville_Event1_Page1	Daphne	Here to claim what's ours at last!
Nestville_Event1_Page1	Atlas	Will you stop, for pity's sake?
Nestville_Event1_Page2	Şebnem Vukoja	Please don't hurt me!
Nestville_Event2_Page1	Dimitrios Orosz	Hot damn, that's going to be a great harvest at that rate!
Nestville_Event3_Page1	Agáta Vlahović	Hey, you!
Nestville_Event3_Page1	Agáta Vlahović	Can I interest you in some jewelry, perhaps?
Nestville_Event3_Page1	Agáta Vlahović	Everything made here in Nestville, of course!
Nestville_Event3_Page1	Daphne	A bit crude for my taste...
Nestville_Event3_Page1	Daphne	How much you willing to let it go for?
Nestville_Event3_Page1	Agáta Vlahović	Mmh, let me think...
Nestville_Event3_Page1	Agáta Vlahović	How about three lesser vouchers?
Nestville_Event3_Page1	Daphne	Come again?
Nestville_Event3_Page1	Agáta Vlahović	You're foreigners, aren't you?
Nestville_Event3_Page1	Ganymede	You could say that.
Nestville_Event3_Page1	Agáta Vlahović	What else you've got, then?
Nestville_Event3_Page1	Daphne	Do you accept Rondhi, by any chance?
Nestville_Event3_Page1	Agáta Vlahović	Sorry to burst your bubble, lady...
Nestville_Event3_Page1	Agáta Vlahović	But money is so last century!
Nestville_Event3_Page1	Ganymede	Didn't think we'd ever see the day bartering gets a renaissance!
Nestville_Event3_Page2	Agáta Vlahović	Come back when you've got something real to trade.
Nestville_Event4_Page1	Neno Megalos	I've got my eyes on you.
Nestville_Event8_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event9_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event11_Page1	Profane Man	I'm afraid the storage is off-limits.
Nestville_Event11_Page2	Profane Man	Gotta make a new lock at some point soon...
Nestville_Event12_Page1	Simona Bokor	I've been expecting you.
Nestville_Event12_Page1	Ganymede	I think you might be confusing us with someone else.
Nestville_Event12_Page1	Simona Bokor	Not at all!
Nestville_Event12_Page1	Simona Bokor	Three vagabonds from afar, it said.
Nestville_Event12_Page1	Simona Bokor	Strong-willed heroes, not to be deterred by any force, be it man or nature.
Nestville_Event12_Page1	Atlas	Your point, if you'd be so kind.
Nestville_Event12_Page1	Simona Bokor	Yes, yes!
Nestville_Event12_Page1	Simona Bokor	I can feel it churning within you!
Nestville_Event12_Page1	Simona Bokor	A fire smoldering, but unignited.
Nestville_Event12_Page1	Simona Bokor	Honey?
Nestville_Event12_Page1	Simona Bokor	Are you harassing strangers again?
Nestville_Event12_Page1	Simona Bokor	Silence!
Nestville_Event12_Page1	Simona Bokor	I will not be inhibited!
Nestville_Event12_Page1	Ganymede	What exactly are we witnessing here?
Nestville_Event12_Page1	Atlas	We better get some distance while she's distracted.
Nestville_Event12_Page2	Simona Bokor	I refuse to desist, you hear me?
Nestville_Event12_Page2	Ilija Bokor	Yes, I get that.
Nestville_Event12_Page2	Ilija Bokor	Will you at the very least join us for dinner now?
Nestville_Event14_Page1	Atlas	There's no point going back in there.
Nestville_Event15_Page1	Ljiljana Antonescu	I could stand here all day!
Nestville_Event17_Page1	Ruf Vacík	What're you looking at?
Nestville_Event18_Page2	Daphne	Speak of the devil.
Nestville_Event18_Page2	Daphne	You okay?
Nestville_Event18_Page2	Atlas	Yeah.
Nestville_Event18_Page2	Ganymede	We miss anything important?
Nestville_Event18_Page2	Atlas	Nothing, really.
Nestville_Event18_Page2	Atlas	Just mistook me for someone else.
Nestville_Event18_Page2	Atlas	Let's see if we can get an appointment with the councillor, now.
Nestville_Event18_Page2	Atlas	Let's keep on looking.
Nestville_Event18_Page2	Daphne	Alright.
Nestville_Event21_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event22_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event23_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event24_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event25_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event26_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event27_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event28_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event29_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event30_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event31_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event32_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event33_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event34_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event35_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event36_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event37_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event38_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event39_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event40_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event41_Page1	Dimitrios Orosz	Don't step on the crops, please!
Nestville_Event42_Page1	Dimitrios Orosz	Don't step on the crops, please!
Randolph Trail_Event1_Page1	Atlas	No point going back there anymore.
Randolph Trail_Event2_Page1	Atlas	HEY!
Randolph Trail_Event3_Page1	Atlas	HEY!
Randolph Trail_Event4_Page1	Atlas	Nestville is the other way.
Randolph Trail_Event4_Page2	Tillian Márton	Mind telling me what you're trying to do here?
Randolph Trail_Event4_Page2	Daphne	Considering you're the one throwing random questions at people...
Randolph Trail_Event4_Page2	Daphne	How about you introduce yourself, first?
Randolph Trail_Event4_Page2	Tillian Márton	It's not me who's trying to enter a peaceful village unannounced!
Randolph Trail_Event4_Page2	Atlas	You're part of this enclave?
Randolph Trail_Event4_Page2	Tillian Márton	You bet!
Randolph Trail_Event4_Page2	Tillian Márton	The name's Tillian.
Randolph Trail_Event4_Page2	Tillian Márton	I'm the deputy leader of Nestville's militia.
Randolph Trail_Event4_Page2	Tillian Márton	Now, how about you tell me what's your business here?
Randolph Trail_Event4_Page2	Atlas	You know a man named Heinrich?
Randolph Trail_Event4_Page2	Tillian Márton	You talked to him?
Randolph Trail_Event4_Page2	Atlas	On our way here, yeah.
Randolph Trail_Event4_Page2	Tillian Márton	How is he?
Randolph Trail_Event4_Page2	Ganymede	Pretty grumpy.
Randolph Trail_Event4_Page2	Tillian Márton	The usual, then.
Randolph Trail_Event4_Page2	Atlas	Do you have a village chief or someone we can talk to?
Randolph Trail_Event4_Page2	Tillian Márton	Yeah.
Randolph Trail_Event4_Page2	Tillian Márton	Not sure if anyone's available...
Randolph Trail_Event4_Page2	Tillian Márton	But knowing Kris, he's probably still in the council hall.
Randolph Trail_Event4_Page2	Tillian Márton	It's the big building at the end of the road.
Randolph Trail_Event4_Page2	Atlas	Alright.
Randolph Trail_Event4_Page2	Atlas	Thanks for your help.
Randolph Trail_Event4_Page2	Tillian Márton	Don't mention it.
Randolph Trail_Event4_Page2	Tillian Márton	I finished my patrol for today.
Randolph Trail_Event4_Page2	Tillian Márton	So I'll be here until nightfall, if you need anything else.
Randolph Trail_Event4_Page2	Tillian Márton	Later then!
Randolph Trail_Event5_Page1	Tillian Márton	Hey.
Randolph Trail_Event5_Page2	Tillian Márton	Back already?
Randolph Trail_Event5_Page2	Tillian Márton	How did it go?
Randolph Trail_Event5_Page2	Atlas	Positively.
Randolph Trail_Event5_Page2	Tillian Márton	Glad to hear it!
Randolph Trail_Event5_Page2	Atlas	You'll be leading us into the city?
Randolph Trail_Event5_Page2	Tillian Márton	Yup.
Randolph Trail_Event5_Page2	Tillian Márton	The boat is just a bit west of here.
Randolph Trail_Event5_Page2	Atlas	Alright.
Randolph Trail_Event5_Page2	Atlas	Let's go, then.
Randolph Trail_Event7_Page1	Atlas	North: Nestville South: Trachi Autonomous community Nestville
Council Reception_Event2_Page1	Costin Hornick	Hey there!
Council Reception_Event2_Page1	Costin Hornick	What can I do for you?
Council Reception_Event2_Page1	Atlas	Is the councillor in, by any chance?
Council Reception_Event2_Page1	Costin Hornick	Ah, it's you!
Council Reception_Event2_Page1	Costin Hornick	He's in a meeting right now.
Council Reception_Event2_Page1	Costin Hornick	And wants me to relay his sincere apologies for the delay.
Council Reception_Event2_Page1	Atlas	Excuse me?
Council Reception_Event2_Page1	Atlas	He knows we're here?
Council Reception_Event2_Page1	Costin Hornick	Naturally!
Council Reception_Event2_Page1	Costin Hornick	I could almost hear Tilian screaming at you from here.
Council Reception_Event2_Page1	Costin Hornick	You see, when our little enclave isn't arguing about something, we're able to function almost like a proper community would.
Council Reception_Event2_Page1	Costin Hornick	I mean, we've only been at it for three years –
Council Reception_Event2_Page1	Atlas	I get your point.
Council Reception_Event2_Page1	Atlas	Let's wait... somewhere else.
Council Reception_Event2_Page2	Costin Hornick	Welcome back!
Council Reception_Event2_Page2	Costin Hornick	I'm very sorry, but the meeting is still in session.
Council Reception_Event2_Page3	Costin Hornick	Oh, it's you again!
Council Reception_Event2_Page3	Costin Hornick	How's your stay in Nestville so far?
Council Reception_Event2_Page3	Atlas	Prolonged, to say at least.
Council Reception_Event2_Page3	Costin Hornick	Hey there!
Council Reception_Event2_Page3	Costin Hornick	What can I do for you?
Council Reception_Event2_Page3	Atlas	Is your councillor in?
Council Reception_Event2_Page3	Costin Hornick	Ah, it's you!
Council Reception_Event2_Page3	Costin Hornick	He's already waiting for you in the council hall.
Council Reception_Event2_Page3	Atlas	He knows we're here?
Council Reception_Event2_Page3	Costin Hornick	Naturally!
Council Reception_Event2_Page3	Costin Hornick	I could almost hear Tilian screaming at you from here.
Council Reception_Event2_Page3	Costin Hornick	You see, when our little enclave isn't arguing about something, we're almost able to function like a proper community would.
Council Reception_Event2_Page3	Costin Hornick	I mean, we've only been at it for three years –
Council Reception_Event2_Page3	Atlas	I get your point.
Council Reception_Event2_Page3	Costin Hornick	Well, I'll inform the councillor right away.
Council Reception_Event2_Page3	Kristofor De Bloom	That won't be necessary.
Council Reception_Event2_Page3	Kristofor De Bloom	Pleased to meet you.
Council Reception_Event2_Page3	Kristofor De Bloom	My name is Kristofor De Bloom.
Council Reception_Event2_Page3	Kristofor De Bloom	I'm the head-councillor of Nestville.
Council Reception_Event2_Page3	Kristofor De Bloom	Now, I'd like to talk with you about a few things...
Council Reception_Event2_Page3	Kristofor De Bloom	If you'd follow me, please.
Council Reception_Event2_Page4	Costin Hornick	I wouldn't let him wait.
Council Reception_Event2_Page5	Costin Hornick	Hope you have a nice day.
Council Reception_Event6_Page3	Costin Hornick	**Locked**
Council Reception_Event6_Page3	Atlas	We're finished here.
De Bloom House_Event3_Page2	Marina De Bloom	Changed your mind?
De Bloom House_Event3_Page2	Marina De Bloom	Well?
De Bloom House_Event3_Page2	Atlas	It would be rude to refuse, right?
De Bloom House_Event3_Page2	Marina De Bloom	Precisely!
De Bloom House_Event3_Page2	Marina De Bloom	Just give me a second, I'll set the table.
De Bloom House_Event3_Page2	Ganymede	I'd be happy to help!
De Bloom House_Event3_Page2	Marina De Bloom	Thank you!
De Bloom House_Event3_Page2	Marina De Bloom	It's highly appreciated!
De Bloom House_Event3_Page2	Atlas	I'm afraid it's still a no.
De Bloom House_Event3_Page2	Marina De Bloom	A shame.
De Bloom House_Event4_Page1	Marina De Bloom	Just a tiny bit more salt...
De Bloom House_Event4_Page1	Marina De Bloom	There... Now it's perfect!
De Bloom House_Event4_Page1	Ganymede	Certainly smells great from where I'm standing!
De Bloom House_Event4_Page1	Marina De Bloom	Oh, excuse me!
De Bloom House_Event4_Page1	Marina De Bloom	I didn't hear you come in.
De Bloom House_Event4_Page1	Marina De Bloom	Can I help you, by any chance?
De Bloom House_Event4_Page1	Atlas	Sorry for intruding.
De Bloom House_Event4_Page1	Atlas	We were having a look around...
De Bloom House_Event4_Page1	Atlas	And apparently, some of us can't resist the scent of a freshly cooked meal.
De Bloom House_Event4_Page1	Daphne	I firmly recall you being the first one to cross the doorframe.
De Bloom House_Event4_Page1	Ganymede	I second that notion!
De Bloom House_Event4_Page1	Atlas	Honestly...
De Bloom House_Event4_Page1	Marina De Bloom	Here's a thought!
De Bloom House_Event4_Page1	Marina De Bloom	Why don't the three of you sit down and have dinner with me?
De Bloom House_Event4_Page1	Atlas	We couldn't possibly accept that.
De Bloom House_Event4_Page1	Marina De Bloom	But you came here looking for something, didn't you?
De Bloom House_Event4_Page1	Atlas	And you think we've just stumbled into the right place?
De Bloom House_Event4_Page1	Marina De Bloom	You never know!
De Bloom House_Event4_Page1	Marina De Bloom	Well?
De Bloom House_Event4_Page1	Marina De Bloom	Great!
De Bloom House_Event4_Page1	Marina De Bloom	Just give me a second, I'll set the table right away!
De Bloom House_Event4_Page1	Ganymede	I'd be happy to help, if you don't mind.
De Bloom House_Event4_Page1	Marina De Bloom	Thank you, it's highly appreciated!
De Bloom House_Event4_Page1	Atlas	I'm sorry.
De Bloom House_Event4_Page1	Atlas	Your offer is very kind.
De Bloom House_Event4_Page1	Atlas	But we have to be somewhere.
De Bloom House_Event4_Page1	Marina De Bloom	I see!
De Bloom House_Event4_Page1	Marina De Bloom	Don't worry about it!
De Bloom House_Event4_Page1	Marina De Bloom	You're always welcome!
De Bloom House_Event4_Page1	Atlas	It's appreciated.
De Bloom House_Event4_Page1	Marina De Bloom	Don't mention it.
De Bloom House_Event4_Page1	Marina De Bloom	You know where to find me.
De Bloom House_Event4_Page1	Marina De Bloom	I hope we'll meet again, someday.
De Bloom House_Event19_Page2	Kristofor De Bloom	You sure you don't want any help with the dishes?
De Bloom House_Event19_Page2	Eurydice	One hundred percent!
De Bloom House_Event19_Page2	Eurydice	You've already done more than enough.
De Bloom House_Event19_Page2	Kristofor De Bloom	Let me at least clean the table, then.
De Bloom House_Event19_Page2	Eurydice	Absolutely not!
De Bloom House_Event19_Page2	Eurydice	I rarely get the chance to spend time with you, these days.
De Bloom House_Event19_Page2	Eurydice	And I won't squander it by having you do chores!
De Bloom House_Event19_Page2	Kristofor De Bloom	I'm sorry...
De Bloom House_Event19_Page2	Kristofor De Bloom	Council work has been piling up on me, lately.
De Bloom House_Event19_Page2	Eurydice	No need to apologize.
De Bloom House_Event19_Page2	Eurydice	I can't claim you entirely for myself, after all.
De Bloom House_Event19_Page2	Kristofor De Bloom	Still...
De Bloom House_Event19_Page2	Kristofor De Bloom	I haven't been a good husband in any sense of the word.
De Bloom House_Event19_Page2	Eurydice	Oh, don't you worry about that.
De Bloom House_Event19_Page2	Eurydice	You are a man with many talents...
De Bloom House_Event19_Page2	Eurydice	And you have your heart in the right place.
De Bloom House_Event19_Page2	Eurydice	No wife could ask for more!
De Bloom House_Event19_Page2	Kristofor De Bloom	If you say so.
De Bloom House_Event19_Page2	Eurydice	Kris...
De Bloom House_Event19_Page2	Eurydice	What's on your mind?
De Bloom House_Event19_Page2	Kristofor De Bloom	I need to ask you something.
De Bloom House_Event19_Page2	Kristofor De Bloom	Those people from Ionia...
De Bloom House_Event19_Page2	Kristofor De Bloom	How did you know they'd come here?
De Bloom House_Event19_Page2	Eurydice	Was only a matter of time, really.
De Bloom House_Event19_Page2	Kristofor De Bloom	Hm.
De Bloom House_Event19_Page2	Eurydice	I'm sorry.
De Bloom House_Event19_Page2	Kristofor De Bloom	It's alright.
De Bloom House_Event19_Page2	Kristofor De Bloom	I wish you'd tell me more...
De Bloom House_Event19_Page2	Kristofor De Bloom	But I know that you have a good reason not to.
De Bloom House_Event19_Page2	Eurydice	It's safer that way, yeah.
De Bloom House_Event19_Page2	Kristofor De Bloom	So...
De Bloom House_Event19_Page2	Kristofor De Bloom	When are you leaving?
De Bloom House_Event19_Page2	Eurydice	Do you want me to?
De Bloom House_Event19_Page2	Kristofor De Bloom	I'm serious, Eury.
De Bloom House_Event19_Page2	Kristofor De Bloom	I know you want to go.
De Bloom House_Event19_Page2	Kristofor De Bloom	You were just waiting for them to show up.
De Bloom House_Event19_Page2	Eurydice	Once I leave...
De Bloom House_Event19_Page2	Eurydice	I'll never be able to come back again.
De Bloom House_Event19_Page2	Kristofor De Bloom	I am aware of that.
De Bloom House_Event19_Page2	Kristofor De Bloom	And I'd do anything to make you stay.
De Bloom House_Event19_Page2	Kristofor De Bloom	But neither of us can hide out here, forever.
De Bloom House_Event19_Page2	Eurydice	You're right, as always.
De Bloom House_Event19_Page2	Eurydice	I'm just worried, that-
De Bloom House_Event19_Page2	Kristofor De Bloom	It's going to happen, anyway.
De Bloom House_Event19_Page2	Kristofor De Bloom	Julius bought us a bit of time, nothing more.
De Bloom House_Event19_Page2	Eurydice	Still...
De Bloom House_Event19_Page2	Eurydice	There's got to be something I can do!
De Bloom House_Event19_Page2	Kristofor De Bloom	There is, actually.
De Bloom House_Event19_Page2	Kristofor De Bloom	But not in Nestville.
De Bloom House_Event19_Page2	Eurydice	Huh?
De Bloom House_Event19_Page2	Kristofor De Bloom	We've been through a lot, you and I.
De Bloom House_Event19_Page2	Kristofor De Bloom	I thought I was finished, two years ago.
De Bloom House_Event19_Page2	Kristofor De Bloom	But you picked me back up.
De Bloom House_Event19_Page2	Kristofor De Bloom	Today, I'll return the favour.
De Bloom House_Event19_Page2	Kristofor De Bloom	I'll give you something, Eury.
De Bloom House_Event19_Page2	Kristofor De Bloom	I'll tell you...
De Bloom House_Event19_Page2	Kristofor De Bloom	About arteria.
De Bloom House_Event26_Page2	Ganymede	That was amazing!
De Bloom House_Event26_Page2	Daphne	Agreed!
De Bloom House_Event26_Page2	Marina De Bloom	Thank you!
De Bloom House_Event26_Page2	Atlas	I just hope we left enough for your other guests.
De Bloom House_Event26_Page2	Marina De Bloom	Well...
De Bloom House_Event26_Page2	Marina De Bloom	I'm sorry.
De Bloom House_Event26_Page2	Atlas	Hm?
De Bloom House_Event26_Page2	Marina De Bloom	It's been a while since I've had company for dinner.
De Bloom House_Event26_Page2	Marina De Bloom	So I might have been a bit pushy earlier.
De Bloom House_Event26_Page2	Marina De Bloom	The truth is...
De Bloom House_Event26_Page2	Marina De Bloom	I'm very glad to have someone sit down with me once in a while.
De Bloom House_Event26_Page2	Marina De Bloom	And when I heard the three of you talking...
De Bloom House_Event26_Page2	Marina De Bloom	I couldn't help but feel like I was back home, again.
De Bloom House_Event26_Page2	Atlas	It's me who should apologize.
De Bloom House_Event26_Page2	Atlas	I had no right to be nosy.
De Bloom House_Event26_Page2	Atlas	I'm sorry I brought it up.
De Bloom House_Event26_Page2	Marina De Bloom	It's fine.
De Bloom House_Event26_Page2	Marina De Bloom	Say...
De Bloom House_Event26_Page2	Marina De Bloom	I have a question for you, specifically.
De Bloom House_Event26_Page2	Marina De Bloom	If you don't mind, of course.
De Bloom House_Event26_Page2	Atlas	What kind of question?
De Bloom House_Event26_Page2	Daphne	Gany?
De Bloom House_Event26_Page2	Ganymede	Hm?
De Bloom House_Event26_Page2	Daphne	There's something I want to check out real quick...
De Bloom House_Event26_Page2	Daphne	Mind accompanying me?
De Bloom House_Event26_Page2	Ganymede	Sure, I guess..
De Bloom House_Event26_Page2	Ganymede	Well, I'll see you later, then.
De Bloom House_Event26_Page2	Ganymede	Thank you very much for the meal!
De Bloom House_Event26_Page2	Marina De Bloom	You're welcome.
De Bloom House_Event26_Page2	Marina De Bloom	Feel free to stop by anytime you're in town.
De Bloom House_Event26_Page2	Marina De Bloom	Travelling with those two must be a lot of fun.
De Bloom House_Event26_Page2	Atlas	I'm afraid you've just witnessed the one occasion where they behaved somewhat discretely.
De Bloom House_Event26_Page2	Atlas	Though their enthusiasm is commendable, without a doubt.
De Bloom House_Event26_Page2	Atlas	That's not what you wanted to ask me, though...
De Bloom House_Event26_Page2	Atlas	Right?
De Bloom House_Event26_Page2	Marina De Bloom	Right!
De Bloom House_Event26_Page2	Marina De Bloom	Now, I hope I'm not imagining things...
De Bloom House_Event26_Page2	Marina De Bloom	We've met before, haven't we?
De Bloom House_Event26_Page2	Atlas	Possibly.
De Bloom House_Event26_Page2	Marina De Bloom	Mhm.
De Bloom House_Event26_Page2	Marina De Bloom	So...
De Bloom House_Event26_Page2	Marina De Bloom	What are you doing here?
De Bloom House_Event26_Page2	Atlas	I'm sorry.
De Bloom House_Event26_Page2	Atlas	But I can't tell you.
De Bloom House_Event26_Page2	Marina De Bloom	So it's like that, hm?
De Bloom House_Event26_Page2	Marina De Bloom	You're still not satisfied?
De Bloom House_Event26_Page2	Atlas	What do you mean by that?
De Bloom House_Event26_Page2	Marina De Bloom	You've destroyed everything I ever loved.
De Bloom House_Event26_Page2	Marina De Bloom	And now, after all these years...
De Bloom House_Event26_Page2	Marina De Bloom	You turn up and pretend that nothing happened.
De Bloom House_Event26_Page2	Marina De Bloom	So what's it gonna be, Atlas?
De Bloom House_Event26_Page2	Marina De Bloom	Are you going to drag me back to Ionia?
De Bloom House_Event26_Page2	Marina De Bloom	Or will you take care of it right here?
De Bloom House_Event26_Page2	Atlas	You've got it all wrong.
De Bloom House_Event26_Page2	Atlas	I'm not here because of you.
De Bloom House_Event26_Page2	Atlas	In fact, we're supposed to be somewhere else, entirely.
De Bloom House_Event26_Page2	Marina De Bloom	Well, what a coincidence.
De Bloom House_Event26_Page2	Marina De Bloom	But since you're at least trying to be honest, I'll return the favour.
De Bloom House_Event26_Page2	Marina De Bloom	I couldn't care less about what kind of chaos you are trying to wreak, this time.
De Bloom House_Event26_Page2	Marina De Bloom	Go ahead...
De Bloom House_Event26_Page2	Marina De Bloom	And do your worst.
De Bloom House_Event26_Page2	Marina De Bloom	But if any harm comes to this village...
De Bloom House_Event26_Page2	Marina De Bloom	I will hold the three of you accountable.
De Bloom House_Event26_Page2	Atlas	Is that all?
De Bloom House_Event26_Page2	Marina De Bloom	Yeah.
De Bloom House_Event26_Page2	Marina De Bloom	We're finished.
De Bloom House_Event26_Page2	Atlas	Alright.
De Bloom House_Event26_Page2	Atlas	Thank you for having us.
De Bloom House_Event26_Page2	Atlas	It was extraordinary, as always.
De Bloom House_Event26_Page2	Atlas	Farewell, Eury.
De Bloom House_Event26_Page2	Eurydice	You too...
De Bloom House_Event26_Page2	Eurydice	Atlas.
IIS Interrogation_Event1_Page1	Matej Chalupa	It says here that the custom's office denied your request.
IIS Interrogation_Event1_Page1	Matej Chalupa	How did "Atlas" react to this state of affairs?
IIS Interrogation_Event1_Page1	Ganymede	You don't need to emphasize his designation like that...
IIS Interrogation_Event1_Page1	Matej Chalupa	Answer the question please.
IIS Interrogation_Event1_Page1	Ganymede	Our original schedule had us inside Trachi, at that point.
IIS Interrogation_Event1_Page1	Ganymede	So I'm guessing he was pretty pissed.
IIS Interrogation_Event1_Page1	Ganymede	At least he wanted to appear that way.
IIS Interrogation_Event1_Page1	Matej Chalupa	What do you mean by that?
IIS Interrogation_Event1_Page1	Ganymede	It was bullshit, obviously.
IIS Interrogation_Event1_Page1	Matej Chalupa	Elaborate.
IIS Interrogation_Event1_Page1	Matej Chalupa	Answer.
IIS Interrogation_Event1_Page1	Ganymede	As you know...
IIS Interrogation_Event1_Page1	Ganymede	Most people working the field aren't particularly proud of what they're doing.
IIS Interrogation_Event1_Page1	Ganymede	But Atlas...
IIS Interrogation_Event1_Page1	Ganymede	He played the self-loathing type way too well.
IIS Interrogation_Event1_Page1	Ganymede	So I had a feeling that he not only hated himself for the things he did.
IIS Interrogation_Event1_Page1	Ganymede	But for the way he came to enjoy them.
IIS Interrogation_Event1_Page2	Matej Chalupa	That was the first time you met Lieutenant Tanner?
IIS Interrogation_Event1_Page2	Ganymede	Yes.
IIS Interrogation_Event1_Page2	Matej Chalupa	Were you aware of his affiliation at that time?
IIS Interrogation_Event1_Page2	Ganymede	He struck me as the kind of person who's only looking out for themselves.
IIS Interrogation_Event1_Page2	Ganymede	So yeah...
IIS Interrogation_Event1_Page2	Ganymede	I knew he couldn't be trusted.
IIS Interrogation_Event1_Page2	Matej Chalupa	What about Daphne?
IIS Interrogation_Event1_Page2	Ganymede	Shouldn't you be asking her that question, instead?
IIS Interrogation_Event1_Page2	Matej Chalupa	Answer.
IIS Interrogation_Event1_Page2	Ganymede	Let me put it this way...
IIS Interrogation_Event1_Page2	Ganymede	Everyone who deals with Tanner thinks exactly the same thing.
IIS Interrogation_Event1_Page2	Ganymede	He might be a backstabbing son of a bitch.
IIS Interrogation_Event1_Page2	Ganymede	"But I can use him." That's what Faber thought.
IIS Interrogation_Event1_Page2	Ganymede	And so did I.
IIS Interrogation_Event1_Page2	Ganymede	I imagine Daphne felt something similar, as well.
IIS Interrogation_Event1_Page3	Ganymede	Mind turning that thing down a bit?
IIS Interrogation_Event1_Page3	Ganymede	I'm starting to lose focus.
IIS Interrogation_Event1_Page3	Matej Chalupa	Answer.
IIS Interrogation_Event1_Page3	Ganymede	We entered Nestville...
IIS Interrogation_Event1_Page3	Ganymede	As I said.
